Tipo aloxamento,Ano,Establecementos,
,2019,2,
,2020,2,
,2021,2,
,2022,2,
Pensións,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,3,
,2010,3,
,2011,3,
,2012,4,
,2013,4,
,2017,4,
,2018,4,
,2019,4,
,2020,4,
,2021,4,
,2022,4,
Albergues turísticos,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,0,
,2013,0,
,2017,0,
,2018,0,
,2019,0,
,2020,0,
,2021,0,
,2022,0,
Turismo rural,,,
,2003,3,
,2004,3,
,2005,3,
,2006,3,
,2007,3,
,2008,3,
,2009,3,
,2010,3,
,2011,3,
,2012,3,
,2013,3,
,2017,3,
,2018,3,
,2019,2,
,2020,3,
,2021,3,
,2022,3,
Campamentos de turismo,,,
,2003,1,
,2004,1,
,2005,1,
,2006,1,
,2007,1,
,2008,1,
,2009,1,
,2010,1,
,2011,1,
,2012,1,
,2013,1,
,2017,1,
,2018,1,
,2019,1,
,2020,1,
,2021,2,
,2022,2,
Apartamentos turísticos,,,
,2003,0,
,2004,0,
,2005,0,
,2006,1,
,2007,1,
,2008,1,
,2009,1,
,2010,1,
,2011,2,
,2012,2,
,2013,3,
,2017,3,
,2018,3,
,2019,1,
,2020,2,
,2021,2,
,2022,3,
Vivendas turísticas,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,..,
,2013,..,
,2017,2,
,2018,2,
,2019,2,
,2020,2,
,2021,2,
,2022,2,
Vivendas de uso turístico,,,
,2003,-0,
,2004,-0,
,2005,-0,
,2006,-0,
,2007,-0,
,2008,-0,
,2009,-0,
,2010,-0,
,2011,-0,
,2012,-0,
,2013,-0,
,2017,-0,
,2018,28,
,2019,42,
,2020,55,
,2021,67,
,2022,74,
15072,Rianxo,,
Hoteis,,,
,2003,0,
,2004,0,
,2005,0,
,2006,0,
,2007,0,
,2008,0,
,2009,0,
,2010,0,
,2011,0,
,2012,0,
,2013,0,
,2017,0,
,2018,0,
,2019,0,
,2020,0,
,2021,0,
,2022,0,
Pensións,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,5,
,2010,5,
,2011,5,
,2012,5,
,2013,5,
,2017,5,
,2018,5,
,2019,5,
,2020,5,
,2021,5,
,2022,5,
Albergues turísticos,,,
,2003,..,
,2004,..,
,2005,..,
,2006,..,
,2007,..,
,2008,..,
,2009,..,
,2010,..,
,2011,..,
,2012,0,
,2013,0,
